Username,Genre,Followers,Likes,Plays,Reposts,Comments
 Kill The Noise ,Dance,3709372,6055,75227,861,214
 Never Say Die Records ,Dance,1032310,7836,95229,1207,286
 DJ SNAKE ,Dance,934778,915,15401,148,46
 Dim Mak Records ,Dance,559180,2046,29277,268,56
 SOULECTION ,Dance,506455,35216,1667558,6863,759
 SOULECTION ,Dance,506455,71687,4119660,16518,574
 JAUZ ,Dance,481896,3705,77664,504,80
 JAUZ ,Dance,481896,10122,164834,1324,158
 GETTER ,Dance,429522,9336,359954,1723,138
Sango,Dance,281234,7644,274176,1365,147
 Ookay ,Dance,268151,1927,20030,323,42
 Ookay ,Dance,268151,3458,49850,502,60
 mau5trap ,Dance,233190,400,5839,63,24
 bitbird ,Dance,207720,83052,4123754,19457,1092
 sam gellaitry ,Dance,191055,16709,610358,2551,274
 sam gellaitry ,Dance,191055,19785,796786,4189,438
 sam gellaitry ,Dance,191055,7337,273152,1246,237
 sam gellaitry ,Dance,191055,22327,943063,4163,190
 sam gellaitry ,Dance,191055,23082,936793,3911,491
 sam gellaitry ,Dance,191055,23854,925262,4986,286
 oshi ,Dance,175051,14365,605197,2884,302
 Barong Family ,Dance,163376,4170,54146,566,126
Disciple,Dance,160643,4557,71619,620,98
 MUST DIE! ,Dance,159960,8984,173632,1204,267
 MUST DIE! ,Dance,159960,9928,191689,1488,350
 Chillhop Music ,Dance,156680,1207,73194,190,27
 Branchez ,Dance,139133,111089,7439901,25718,900
 Circus Records Official ,Dance,133929,1166,14835,141,37
 QUIX ,Dance,122615,8299,172930,1332,208
 Habstrakt ,Dance,121810,5068,76407,702,94
 Midnight Tyrannosaurus™ ,Dance,119077,5464,56047,693,179
 tennyson ,Dance,99430,37427,1856511,6483,717
 Never Say Die Black Label ,Dance,95664,2058,22994,310,119
 Never Say Die Black Label ,Dance,95664,1718,16599,246,83
 Never Say Die Black Label ,Dance,95664,2149,18193,334,86
 Never Say Die Black Label ,Dance,95664,2053,19786,295,96
 Never Say Die Black Label ,Dance,95664,2584,27902,370,151
 Never Say Die Black Label ,Dance,95664,1373,12174,180,68
 Never Say Die Black Label ,Dance,95664,2352,25435,318,193
 Never Say Die Black Label ,Dance,95664,10454,160082,1556,393
 Never Say Die Black Label ,Dance,95664,2416,43757,405,27
 Never Say Die Black Label ,Dance,95664,3592,69479,569,51
 Never Say Die Black Label ,Dance,95664,2928,50694,510,42
 Never Say Die Black Label ,Dance,95664,1280,23997,224,35
 Dion Timmer ,Dance,91553,10216,319986,1787,146
 Dion Timmer ,Dance,91553,5913,216925,1192,89
 Dion Timmer ,Dance,91553,6198,211094,1096,70
 Dion Timmer ,Dance,91553,5807,172211,1055,94
 Dion Timmer ,Dance,91553,7599,223194,1567,107
 wuki ,Dance,82925,929,14247,77,10
 MOODY GOOD ,Dance,81770,8892,118606,1263,274
 MOODY GOOD ,Dance,81770,8088,82296,1409,320
 Mr. Bill ,Dance,71328,979,10514,125,49
 Kompany ,Dance,69129,3887,50095,531,95
 Daruma ,Dance,63346,1713,66992,276,44
 PEEKABOO ,Dance,61391,9567,171277,1382,224
 PEEKABOO ,Dance,61391,8053,76727,1209,220
 Phiso ,Dance,53180,4765,59267,716,267
 TYNAN ,Dance,52135,6481,86892,808,186
 MARAUDA ,Dance,50660,6374,125297,1497,339
 MARAUDA ,Dance,50660,10673,160124,1541,477
 MARAUDA ,Dance,50659,11881,238914,1449,735
 BLVK SHEEP ,Dance,50384,1954,20779,375,220
" quickly, quickly ",Dance,49730,12988,386022,1925,372
 INFEKT ,Dance,45936,920,15238,135,58
 INFEKT ,Dance,45936,1430,21178,210,77
 Oolacile ,Dance,44583,1193,11404,217,94
 Oolacile ,Dance,44583,2134,26201,311,129
 Disciple Round Table ,Dance,42936,1233,14861,163,50
 Disciple Round Table ,Dance,42936,2460,29869,368,80
 Disciple Round Table ,Dance,42936,2037,23663,329,60
 TWONK ,Dance,41271,4917,108767,908,38
 TWONK ,Dance,41271,2948,65335,567,36
 TWONK ,Dance,41271,2458,58424,431,20
 TWONK ,Dance,41271,2033,49959,353,26
 XAEBOR ,Dance,40148,2493,23226,503,288
 MVRDA ,Dance,37758,2986,34491,440,93
 Aweminus ,Dance,36917,7027,91832,1037,254
 Aweminus ,Dance,36917,3814,51257,518,101
 Aweminus ,Dance,36917,1906,20017,336,97
 Aweminus ,Dance,36917,4826,52654,778,206
 SUBFILTRONIK ,Dance,34529,1582,18339,284,128
 UBUR ,Dance,33848,6840,98828,862,210
 UBUR ,Dance,33848,2570,19534,380,58
" Deep, Dark & Dangerous ",Dance,33528,789,6110,123,29
 Bishu ,Dance,33167,3292,65995,505,54
 YAKZ ,Dance,31424,2790,34857,408,62
 YAKZ ,Dance,31424,2824,37510,465,109
 Spock ,Dance,31347,3483,55039,361,80
 Chibs,Dance,30793,2924,38388,422,140
 Samplifire ,Dance,29971,3567,38379,572,142
 Samplifire ,Dance,29971,3149,35157,489,172
 salute ,Dance,29252,350,2759,48,24
 AKIRAH ,Dance,25101,656,5179,117,71
 AKIRAH ,Dance,25101,1221,11742,278,132
 Blankface ,Dance,24677,1725,10628,526,433
 Simula ,Dance,23888,187,7294,24,12
 Simula ,Dance,23888,275,9788,33,17
 laxcity ,Dance,23322,2112,27817,309,138
 Bassweight Records ,Dance,22680,1511,18081,280,81
 Bassweight Records ,Dance,22680,2958,44390,393,123
 Bassweight Records ,Dance,22680,1744,13131,269,61
 Bassweight Records ,Dance,22680,2027,21294,280,59
 Bassweight Records ,Dance,22680,1840,21651,283,83
 blanke ,Dance,21346,6615,101303,1006,207
 Savage Society Records ,Dance,20543,782,14595,120,32
 Savage Society Records ,Dance,20543,1233,21519,171,52
 Savage Society Records ,Dance,20543,680,6689,108,32
 Savage Society Records ,Dance,20543,955,9253,179,129
 Savage Society Records ,Dance,20543,711,7621,119,41
 Savage Society Records ,Dance,20543,828,9156,153,54
 Savage Society Records ,Dance,20543,1024,10020,180,96
 Savage Society Records ,Dance,20543,932,10775,172,47
 Savage Society Records ,Dance,20543,555,6533,105,28
 Savage Society Records ,Dance,20543,2206,23421,356,80
 GANON ,Dance,18412,908,8875,242,230
 L.U.X ,Dance,18373,2152,12194,416,96
 KILL FEED ,Dance,17886,2995,43291,376,91
 KILL FEED ,Dance,17886,1948,19137,283,70
 Parkinson White ,Dance,17391,1513,46234,274,104
