,Username,Followers,Likes,Plays,Reposts,Comments
0,[' SERPENTS '],[4683],[3691],[41345],[822],[512]
1,[' SERPENTS '],[4683],[8950],[152765],[2139],[326]
2,[' SERPENTS '],[4683],[3893],[47996],[702],[195]
3,[' Spock '],[31347],[3483],[55039],[361],[80]
4,[' CROMATIK '],[11204],[2235],[36234],[261],[52]
5,[' Dwarv '],[4019],[1098],[15165],[127],[72]
6,[' Ｆａｙｔｅ '],[13532],[2251],[27011],[478],[110]
7,[' ID '],[10853],[1526],[16126],[244],[130]
8,[' Chibs [𝐍𝐆] '],[30793],[2924],[38388],[422],[140]
9,[' Invictous '],[11110],[726],[7352],[101],[74]
10,[' Drippy '],[7121],[703],[13646],[172],[80]
11,[' Drippy '],[7121],[2162],[39956],[301],[184]
12,[' UBUR '],[33848],[6840],[98828],[862],[210]
13,[' MOTUS. '],[13239],[231],[3182],[49],[22]
14,[' Aweminus '],[36917],[7027],[91832],[1037],[254]
15,[' YUNIT. '],[4112],[959],[9850],[266],[289]
16,[' Nexu5 '],[10502],[1999],[23403],[274],[103]
17,[' Disciple Round Table '],[42936],[1233],[14861],[163],[50]
18,[' Bassweight Records '],[22680],[1511],[18081],[280],[81]
19,[' SKUM '],[4574],[167],[1878],[25],[26]
20,[' FUGITIVES '],[6813],[440],[3979],[80],[59]
21,[' Nexu5 '],[10502],[1318],[15189],[247],[163]
22,[' Aevi⁺ '],[474],[101],[1418],[9],[26]
23,[' DDD '],[2094],[884],[11154],[93],[42]
24,[' DIGITIST '],[15091],[405],[4298],[71],[39]
25,[' ARCRUX '],[5434],[882],[10542],[151],[46]
26,[' HOL! '],[2265],[1824],[22278],[217],[104]
27,[' by MAD DUBZ '],[1780],[490],[4703],[85],[65]
28,[' Bassweight Records '],[22680],[2958],[44390],[393],[123]
29,[' ARCRUX '],[5434],[647],[6543],[116],[48]
30,[' Sharks '],[5654],[1244],[19681],[263],[131]
31,[' David Shawty '],[13056],[583],[21832],[24],[28]
32,[' David Shawty '],[13056],[568],[19433],[35],[23]
33,[' Blacklight Audio '],[8739],[159],[1663],[47],[16]
34,[' Savage Society Records '],[20543],[782],[14595],[120],[32]
35,[' MARAUDA '],[50659],[11881],[238914],[1449],[735]
36,[' Savage Society Records '],[20543],[1233],[21519],[171],[52]
37,[' QUIX '],[122615],[8299],[172930],[1332],[208]
38,[' mau5trap '],[233190],[400],[5839],[63],[24]
39,[' KILL FEED '],[17886],[2995],[43291],[376],[91]
40,[' TYNAN '],[52135],[6481],[86892],[808],[186]
41,[' MAD DUBZ '],[1780],[430],[4934],[71],[72]
42,[' scheme '],[1348],[913],[9191],[127],[160]
43,[' MOODY GOOD '],[81770],[8892],[118606],[1263],[274]
44,[' Moley '],[2439],[352],[3841],[68],[51]
45,[' Nexu5 '],[10502],[1076],[21001],[154],[104]
46,[' INFEKT '],[45936],[920],[15238],[135],[58]
47,[' SAIGGA '],[5524],[1779],[24902],[238],[155]
48,[' AYONIKZ '],[14011],[1002],[10719],[180],[94]
49,[' AYONIKZ '],[14011],[1458],[24046],[219],[79]
50,[' Cybertr0n '],[11689],[7832],[118872],[2058],[1994]
51,[' jub dubs '],[13806],[2465],[35839],[314],[111]
52,[' OHNO '],[1633],[956],[12975],[231],[51]
53,[' AYONIKZ '],[14011],[976],[13074],[147],[82]
54,[' Activated '],[5445],[154],[2013],[20],[18]
55,[' Aweminus '],[36917],[3814],[51257],[518],[101]
56,[' Ｆａｙｔｅ '],[13532],[868],[12028],[188],[71]
57,[' Cash Cow Music '],[214],[2498],[154862],[133],[100]
58,[' shyne '],[43],[515],[21322],[29],[14]
59,[' laxcity // b-sides '],[5044],[263],[6326],[28],[20]
60,[' blanke '],[21346],[6615],[101303],[1006],[207]
61,[' PEEKABOO '],[61391],[9567],[171277],[1382],[224]
