,Username,Followers,Likes,Plays,Reposts,Comments
0,[' 50Trax '],[9032],[47007],[3084859],[4441],[212]
1,[' Hoodrich Pablo Juan '],[93958],[2508],[194067],[173],[12]
2,[' T.T.B. '],[51312],[16124],[682852],[1832],[42]
3,[' SahBabii '],[104368],[61388],[3788002],[4524],[361]
4,[' SahBabii '],[104368],[7421],[446580],[492],[84]
5,[' Hoodrich Pablo Juan '],[93958],[4542],[269082],[495],[22]
6,[' Young Thug '],[935267],[522],[39509],[43],[5]
7,[' Eskay '],[3654],[4492],[266532],[350],[21]
8,[' $teveTooThrowed '],[11],[1205],[62078],[42],[10]
9,[' NovaBright '],[423],[6986],[237659],[1289],[53]
10,[' DailyLoudSounds '],[76960],[173821],[11999497],[9076],[550]
11,[' MF808 '],[706],[91196],[6536252],[3337],[300]
12,[' Young Nudy '],[113644],[16456],[739539],[1097],[34]
13,[' Young Nudy '],[113644],[9893],[558267],[522],[19]
14,[' tygamann123 '],[148],[23380],[1950286],[1839],[172]
15,[' ChiefKeef '],[384865],[2835],[159271],[200],[6]
16,[' ChiefKeef '],[384865],[1015],[51864],[70],[2]
17,[' ChiefKeef '],[384865],[3457],[197599],[260],[6]
18,[' ChiefKeef '],[384865],[3218],[214694],[219],[11]
19,[' ChiefKeef '],[384865],[4935],[339322],[328],[11]
20,[' ChiefKeef '],[384865],[3966],[223416],[290],[6]
21,[' ChiefKeef '],[384865],[4707],[316207],[311],[17]
22,[' ChiefKeef '],[384865],[3110],[170002],[336],[21]
23,[' ChiefKeef '],[384865],[33677],[2294290],[1628],[193]
24,[' ChiefKeef '],[384865],[2447],[155374],[179],[6]
25,[' ChiefKeef '],[384865],[7521],[481546],[328],[43]
26,[' Hoodrich Pablo Juan '],[93958],[6853],[319390],[746],[20]
27,[' T.T.B. '],[51312],[20483],[1235385],[1823],[71]
28,[' Metro Boomin) by Hoodrich Pablo Juan '],[93958],[3931],[264214],[280],[12]
29,[' @SpiffyGlobal '],[7149],[538],[28367],[58],[1]
30,[' The Real Lil Dude '],[1362],[817],[56183],[96],[1]
31,[' rapsandhustles.com '],[24557],[9482],[715755],[955],[31]
32,[' Blac Youngsta '],[108076],[149774],[9533566],[5880],[180]
33,[' Hoodrich Pablo Juan '],[93958],[3233],[219029],[249],[5]
34,"["" Pi'erre Bourne ""]",[134018],[11095],[584936],[719],[24]
35,[' LMOBMAROON '],[759],[154],[8691],[24],[3]
36,[' Glo Boy Musick '],[332],[711],[47020],[34],[3]
37,[' DrakeTracks '],[5275],[13220],[921182],[1845],[114]
38,[' Migos '],[1166023],[828],[59183],[41],[2]
39,[' Young Nudy '],[113644],[12942],[819733],[632],[38]
40,[' Young Nudy '],[113644],[5083],[302724],[218],[12]
41,[' styn '],[23945],[216],[7565],[37],[15]
42,[' Boom League : Hip Hop & RnB '],[9391],[94840],[6628608],[5483],[342]
43,[' LIL UZI VERT '],[2278015],[202993],[14683601],[13632],[947]
44,[' JayTrackz '],[5535],[76246],[5204071],[9379],[498]
45,[' Digital Trapstars '],[114167],[57957],[4028906],[8755],[707]
46,[' DrakeTracks '],[5275],[28544],[1794953],[2911],[47]
47,[' StackboyTwaun '],[3966],[41142],[2661091],[2359],[107]
48,[' TygaTrackz '],[6002],[169360],[11630535],[10807],[283]
49,[' Young Dolph '],[131995],[58988],[4528385],[3129],[121]
50,[' Hoodrich Pablo Juan '],[93958],[6886],[420020],[456],[19]
51,[' LIL UZI VERT '],[2278015],[777625],[63575431],[37965],[5241]
52,[' Young Nudy '],[113644],[14565],[828649],[814],[32]
53,[' Young Nudy '],[113644],[5166],[316574],[285],[21]
54,[' ReddSmash '],[222],[437],[25490],[45],[1]
55,[' Yung Astro '],[4197],[452],[30228],[31],[2]
56,[' finesse world® '],[24977],[3406],[232811],[367],[6]
57,[' @ItsJahhhh '],[1890],[1804],[111751],[164],[17]
58,[' (Prod. John Lo) by $olo '],[708],[286],[20287],[62],[2]
59,[' LIL UZI VERT '],[2278015],[286077],[22898359],[16774],[2096]
60,[' LIL UZI VERT '],[2278015],[19994],[2153672],[1233],[175]
61,[' LIL UZI VERT '],[2278015],[308979],[24531217],[15621],[2264]
62,[' Blac Youngsta '],[108076],[18172],[1169256],[1119],[97]
63,[' YoGottiKOM '],[133936],[69436],[5195644],[2977],[190]
64,[' Kodak Black '],[1292280],[32776],[2967997],[2248],[622]
65,[' Kodak Black '],[1292280],[340526],[26776795],[18621],[883]
66,[' Kodak Black '],[1292280],[336913],[21370960],[22392],[1138]
67,[' Young_Dolph '],[111627],[27187],[1648711],[1845],[51]
68,[' Plugged Soundz '],[255980],[9842],[389666],[797],[34]
69,[' Murda Beatz '],[130050],[16945],[1058702],[1774],[59]
70,[' YoungBoy Never Broke Again '],[1104804],[114525],[9518703],[3607],[212]
71,[' LIL UZI VERT '],[2278015],[758453],[71453821],[27678],[6927]
72,[' LIL UZI VERT '],[2278015],[215646],[19309592],[8386],[1521]
73,[' LIL UZI VERT '],[2278015],[163987],[15213332],[5944],[1056]
74,[' LIL UZI VERT '],[2278015],[722928],[73777221],[24650],[6208]
75,[' ASAPMob '],[279760],[110867],[7632955],[6522],[271]
76,[' al '],[4179],[822],[42748],[81],[3]
77,[' ChiefKeef '],[384866],[2538],[180557],[124],[7]
78,[' ChiefKeef '],[384866],[427],[44062],[23],[0]
79,[' ChiefKeef '],[384866],[824],[63089],[50],[4]
80,[' ChiefKeef '],[384866],[1088],[76706],[67],[3]
81,[' ChiefKeef '],[384866],[1242],[80413],[64],[5]
82,[' drain gang '],[53359],[4917],[371130],[773],[114]
83,[' thaiboy digital '],[32572],[1101],[94581],[98],[18]
84,[' thaiboy digital '],[32572],[1673],[153194],[208],[29]
85,[' thaiboy digital '],[32572],[2864],[247539],[309],[45]
86,[' thaiboy digital '],[32572],[935],[92632],[110],[16]
87,[' thaiboy digital '],[32572],[673],[70330],[90],[16]
88,[' SMOKING.THOINK$ '],[584],[135],[7199],[14],[1]
89,[' Drugrixh Hect '],[7771],[1988],[174088],[115],[3]
90,[' Drugrixh Hect '],[7771],[2492],[240763],[137],[3]
91,[' Drugrixh Hect '],[7771],[2453],[250638],[137],[4]
92,[' Drugrixh Hect '],[7771],[1393],[123885],[78],[3]
93,[' Drugrixh Hect '],[7771],[1790],[149947],[101],[2]
94,[' ❅ICYRADIO❅ '],[455],[154],[10250],[6],[0]
95,[' Lil Baby '],[586596],[761870],[55683368],[22389],[3675]
96,[' soufeastscrewston713 '],[1575],[18400],[1177184],[1874],[222]
97,[' DJ Screw Mixtapes '],[18575],[1429],[97417],[195],[18]
98,[' DJ Screw Mixtapes '],[18575],[1581],[97749],[222],[19]
99,[' DJ Screw Mixtapes '],[18575],[1422],[73235],[192],[14]
100,[' DJ Screw Mixtapes '],[18575],[896],[50906],[118],[11]
101,[' DJ Screw Mixtapes '],[18575],[1933],[116982],[259],[21]
102,[' BEEZ EXCLUSIVEZ '],[6701],[2848],[117998],[297],[15]
103,[' SpeakerKnockerz '],[235371],[520867],[41975774],[57511],[4827]
104,[' Young Dpac '],[2294],[2844],[180512],[221],[3]
105,[' TrevDogg45 '],[236],[882],[59802],[68],[0]
106,[' drip-133 '],[59677],[1252],[82513],[167],[24]
107,[' XclusiveTrackz2 '],[584],[22436],[1829047],[1996],[192]
108,[' Scarfo Da Plug '],[4182],[6894],[718695],[432],[27]
109,[' Drugrixh Peso '],[10694],[4492],[276917],[323],[16]
110,[' Hoodrich Pablo Juan '],[93958],[13397],[1024641],[905],[19]
111,[' Baka Not Nice '],[22949],[199942],[14304445],[18138],[665]
112,[' 16yrold '],[115002],[41499],[2283772],[3864],[203]
113,[' Jovon Mcdonald '],[301],[2411],[163067],[212],[6]
114,[' SouIja Boy '],[731],[1485],[110316],[237],[28]
115,[' Soulja Boy '],[76514],[22],[1373],[2],[0]
116,[' RICHFOREVER MUSIC FAN PAGE '],[67],[214],[16550],[15],[4]
117,[' 6IX9INE '],[755688],[1257628],[11557021],[51404],[18839]
118,[' Eman Spuda Gould '],[34],[3743],[325341],[382],[10]
119,[' Young Thug '],[935266],[160],[13699],[7],[3]
120,[' HIP RAP '],[2785],[2182],[106295],[293],[13]
121,[' WAYYVE '],[483],[6426],[347782],[308],[31]
122,[' Lapone Tarantino '],[2726],[3586],[191861],[527],[24]
123,[' Metro Boomin '],[625944],[47234],[2967886],[7115],[280]
124,[' YOPPA BAM '],[9816],[1500],[88354],[137],[11]
125,[' YOPPA BAM '],[9816],[4465],[187785],[427],[38]
126,[' LIL UZI VERT '],[2278016],[177960],[14739975],[6885],[1361]
127,[' ZARI '],[479],[611],[93766],[217],[19]
128,[' lilcandypaint *Candypaint '],[33352],[7850],[413657],[566],[28]
129,[' DJ PHAT '],[22634],[399],[21572],[32],[0]
130,[' 💀 💘 '],[743],[870],[38807],[104],[3]
131,[' rich young nigga '],[2615],[31079],[2328064],[1068],[53]
